,comment,title,rating
73,"This is a central artery through much of the city.  Its a busy, multi-lane thoroughfare that's always crowded with people and vehicles... but it's an essential walk!  Much of the city's beloved park is along this route, then entering the city area.  There are often...","Busy, Dusty, Pollution... but a MUST WALK in CDMX!",40
74,I always seen it on tv. It was a great experience to be there and see the Angel...its way better at night. I got there around 6pm and sunset was set in a 45 later then the light turn on. Nice monument to take pictures...,Beautiful spot to sit and people watch,50
75,Every visitor to Mexico City should stroll down Paseo de la Reforma. It pulses with the city's energy.,A grand boulevard in a world capital,40
76,"Our hotel was on the Reforma, so we walked up and down it, from Centro Historico to Chapultepec. There are many restaurants and shops, as well as beautiful public art to view. The monuments are wonderful to see!",Great walk!,40
77,"Enjoyed the stroll and the different statues and monuments.  This is a business district and the avenue is line with hotels.  Stopped in different hotels in the area for coffee, dessert, and cocktails.",A nice Stroll,40
78,we walked from our hotel Historico Central to the archilogical museum. Paseo de la Reforma goes virtually all the way. The architecture along the way (about 5 km) is wonderful fro ancient to ultra modern. We avoided Mexico City for years- what a mistake!,Beautiful walk,40
79,"You've got to go on a Sunday.  The street is closed to traffic and becomes full of bicycles, dog walkers and families strolling.  We joined an outdoor public Zumba class (must have had 100 people not including the dogs) which was a hoot!  For kids,...",La Reforma closes to traffic on Sunday,50
80,"This is a must if visiting the city. You’re near a bunch of great restaurants and colorful neighborhoods. The towering angel monument lends an air of opulence and old world charm at the same time. There are little shops, mostly food, mostly fast, several Starbucks....",A colorful walk...,50
81,"this plce is worth all the positive ratings. at night, the statues light up as if they come alive. fountains, monuments, fantastic landscaping. a real page turner in the book of life.",fantastic at night,50
82,"We had a hotel down the street from the Angel of Independence so it was really nice walking along this street every night. Lots of monuments, fountains and great landscaping throughout. There are many very nice restaurants around and it was always great people watching.",Nice walk,50
83,The Paseo de la Reforma is a classical French-style avenue lined with fountains and monuments that runs for miles through the heart of Mexico City all the way up to Polanco. During the week it's very busy but on Sundays cars are banned fron 7am...,Great on Sundayd,50
84,This to me was my favorite place. Not only was it beautiful (especially at night) it gave me a feeling of pride. I don't why I never consider myself Mexican but my greatmother and grandmother were. It just touched my soul.,breathtaking,50
85,"On Sunday's you can go and take a walk or take a bicycle ride with your couple or family, the steet is closed for you to enjoy it !
You can have a bike just with your ID in certain spots, look for them in...",Visit it on Sunday ,50
86,"Go at sunset; watch this amazing city!  Busy intersection, great people watching.  Mexico's Arch de Triumph.",Go at sunset; watch this amazing city!,50
87,"One of the most famous walks in the world leading from the Historic Center to Chapultepec Park, a great place for people watching.  Fine restaurants abound.  To me, the most salient feature is all the skyscrapers, national headquarters for every big bank with more glass...",Big Banks,40
88,"Paseo de le Reforma remains one of the must see locations of Mexico City. Walk up and down and enjoy the views, especially on a Sunday when it is open only for bicycles.",Fascinating boulevard,50
89,"Down the paseo.. it's a beauty.. so much culture in the city.. it's Amazing.  Supposedly on Sunday morning they close the street.. everything is so busy, with lots of traffic.  But be patient & take everything in with an open mind",Lots too See,40
90,"The broad street is so beautiful. We visited the exterior of the USA Embassy there, walked over to visit the Angel monument. Lots of flowers.",Policemen Are Everywhere So You Feel Very Safe,40
91,"Accurately called ""The Heart of the Nation"" Reforma Avenue is a vivid witness to some of the most important and strategic episodes in Mexican history.

It's the perfect site for a time of leisure and recreation among ancient tree life, impressive sunsets and a colorful...",Gorgeous Avenue packed with History,50
92,"Main street in Mexico City and just like everywhere else there, very historic, beautiful and packed with cars and people. Don't drive or take the Touribus here or you will be there a long time, grab a cab that knows short cuts or walk. Our...",This is the main drag in central Mexico city and i mean that in a good way,40
93,"Your trip to Mexico City should definitely include a walk along Reforma, whether you enjoy nature, culture or art there is always something to explore. You can begin walking from Auditorio Nacional all the way until you reach the Centro Histórico (City Center). Along the...",Mexico's most beautiful street,50
94,"It is a business class avenue, commercial and a historic monuments parade make Paseo de la Reforma very interesting and useful to go through","The wider, the larger and most beautyful avenue in Mexico City",50
95,"The independence monument, Known as ""El Angel"" has a lot of history by itself. But it symbolizes lots more for the mexicans, I  am certain that every inhabitan has a different story of El Angel, ""She"" has the unique power of unification, has a similar...",The heart of the melting pot,40
96,"Try to get the permission at the local offices to go on top or the independence angel in Reforma 
Unique experience",FROM THE TOP AT THE CENTER,50
97,"Paseo de la Reforma is very nice to walk, you can get to a lot of places, for example restaurants, shops, different iconic locations is Mexico.

Place is secure to walk, and nice!!",Nice place to walk ,50
98,"This is a beautiful place one should visit while being in Mexico.
The statue seems wonderful in the lighting at the night, Saturday and Sundays there is good gathering too at this place. Must Visit!",Beautiful!,50
99,The most iconic street of Mexico City is Paseo de La Reforma (The Reform Walk). Its current form was devised by president Porfirio Díaz as part of a modernization of the city during the beginning of the 20th century. Around this street you will find...,The most iconic street of the city,50
100,"you will be tired afterwards, but will have a positive opinion of this very modern city; a long, but easy stroll",a walkable avenue,40
101,"We stayed at the Sheraton which is right on the paseo. It is a nice walking area, even though there is quite a bit of vehicle traffic, with many vendors (especially on the side streets) and shoe shine guys.",Nice Outdoor Area,40
102,A fun place to walk and see the sights. Very safe but hard to cross the street to see the Angel statue. Great places to eats on the route,A great walk,50
103,A good area to wander around in and take in some of Mexico City. The tower is light up at night and worth checking out. Good restaurants and coffee shops in the area.,Paseo de la reforma,40
104,Paseo de la Reforma is a major road in Mexico City. Most major transportation lines will pass by this road. There are round abouts in the road. Very European. There are many statues lining this road. There are many great shops and areas to walk...,Beautiful Statue and Road,50
105,"Paseo de la Reforma is the best location to stay while visiting Mexico City.  It’s close to all main spots you want to visit and close to bus stops, metro etc",A great area,50
106,"It was modeled after the Champs in Paris and it certainly does remind me of that street with plenty of statues in the roundabouts along the way.  You'll pass a mall, plenty of stores, restaurants, plenty of beautiful office buildings, etc.  And you can walk...",Nice walk for a great taste of the city,40
107,"I happened on the monument late Saturday afternoon while searching for a pharmacy.  To my surprise, there were several wedding parties on both sides of the monument having their group photos taken by friends, family, and professional photographers.  The colors and joy of these happy...",A Wedding Cake with live Brides and Grooms,40
108,"the street and its surrounding buildings is an art in itself 
enjoyed walking from the angel monument to bosque de chapultepec 
it was also timing that theres art pieces displayed along the path from museo
its a great place to learn local folks and business...",walk after work ,50
109,Beautiful statue in downtown Mexico City - saw during the day and at night. There are no pedestrian crossings to see it up close - you have to cross the busy traffic circle when there is no traffic,Hazardous to see up close,50
110,"Our hotel PF was some 10 minutes walk of Angel monument we strolling by this wide avenue ,that with trees flanked on both sides and in middle resembles huge park ,and ended in Park Chapultepek,there are other monuments and fountains.",Avenue-park.,50
111,"We are staying close by to this wonderful place.  We took time to walk it one day and rented bikes to enjoy a little more another day.  Great place to see while here.

Sundays they block off one side so you can walk or bike.",Lovely walk and bike,40
112,In the night the view is amazing!! with the night lights you can apreciate more this iconic city. Love this,Angel!!!,50
113,We stayed right of the Paseo which had everything from public art displays along the length of the road to a marathon on Sunday.  The fountains are worth seeing during the day and at night.,A wonderful walk,50
114,"This tree lined, park like boulevard is one of the most beautiful of the main thoroughfares. It runs through the Zona Rosa.and  starts/ends at the huge Chapultepec  Park. There are  numerous monuments (El Angel de Independencia being the most famous), fountains, luxury hotels, boutiques and...",Main Artery,40
115,"My favourite street in Mexico City. It has everything... It is also a nice place to meet locals. If you are looking for a hotel, make sure is within walking distance to Paseo de la Reforma... You won't regret it! Beautiful buildings and trees. It...",Favourite street!,50
116,We headed on the Paseo towards the beautiful well maintained park. Stopped at the Museum of Modern Art and the Museum of Anthropology.  The walk was highlighted by beautiful phones on one side and outstanding statuary on the other,Wonderful pedestrian walk.,50
117,We took one of the city buses that ran down reforma and saw the street and sculptures from this vantage point. The street was too long for us to walk and the stores (for us) weren't anything worth being pedestrian for.,Take the city bus for 4 pesos and get your 'own tour',30
118,Paseo de la Reforma is not only the main artery of Mexico City but also the most beautiful street. Try to visit it on a Sunday morning or noon as it is closed for traffic and many outdoor activities take place there.,Main street,50
119,You can not visit Mexico City and not travel here. The angel is magnificent and the circle is filled with lots of local people.,Walked here and it’s beautiful ,50
120,"You should check it out, but it's not a top ten tourist attraction. It's a pain to cross, and it crosses other streets at an angle, so it's easy to get disoriented if you're actually trying to follow directions. Yes, there are sculptures all the...","It's a big, busy street",20
121,"There's nothing like touring el Paseo and seeing the wide Avenue, amazing statues and public art, French Style buildings along with the lush vegetation in one of the most beautiful roads on earth. Designed by Paris' architect to resemble that great city it presents its...",One of the great avenues of the world,50
122,"It looks especially beautiful in the night, when it glows in different colors. You can sit here in the night after visiting the other attractions. Don't skip this.",Iconic Statue of the City,50
123,"On Sunday's they shut the street down to Automobiles and have people walking, running, and biking to promote physical exercise.  It's a lot fun to walk around, great restaurants, architecture to see both during the day and at night.  Our hotel was right on Reforma,...",Great walking along Reforma to the Spire,40
124,"We stayed in a hotel on the Reforma and it proved to be a great choice, as you are close to many attractions. It is lovely to walk along the Reforma and admire the El Angel de la Independencia. There are also other famous monuments...",Great area with famous monuments,50
125,"Just happened to stumble across this on our search for food. Very interesting and beautiful. Traffic is crazy at times, so becareful!",Cool Stop,40
126,"It is not the Champs Elysees, but it sure is nice to walk along this wide avenue. Next to Zona Rosa the heart of nightlife of CDMX. With modern buildings and shops along its sidewaks. At night it is beautifuly illuminated and safe to walk.",The Grand Dame of Avenues in Mexico.,40
127,"This wide boulevard culminates in the Angel of Independence, a monument to the 1810 victory of independence from Spain. El Angel & the Paseo de la Reforma are popular focal points for different types of activities by Mexicans - political protests, football celebrations, community dance...",Mexico City’s grand boulevard ,30
128,"The location is perfect if in the heart of Mexico City.  A lot of bars, restaurants, shopping, etc. The monument is very famous in Mexico City and is well worth to check out.  Very very safe area as there are alot of police",Great location in the heart of Mexico City,50
129,"I felt very safe with police on every corner of the street. I have walked around this monument very late at night and safety was not concern. Beautiful monument, wide street and a lot to see.
Walking distance from here is Zona Rosa where you...",Beautiful area and monument,50
130,"Fantastic golden monument.
Epicenter for party on new year’s eve with concerts, a landmark for walks and nicely lit during night.",Fabulous place,50
131,"Many highlights in the several days that I spent on, or near the Paseo de la Reforma.
I will first mention the Salvador Dali open air exhibit -  'Salvador Dali Urban Dreams' at the 'Paseo la Reforma. I do so, only because I am working...","Fabulous scenes, dining, arts, shopping, Colonial Architecture and people watching.",50
132,"You can walk from angel of independence to art museum in about 25 minutes. Along the way, you can view great buildings, sculptures, etc.",Wide ,40
133,"Excellent place to keep walking and go to a  shopping mall, restaurants, hotels, etc. From this avenue you can see the El Angel Statue, El Castillo de Chapultepec and The
Anthropological Museum, very important historic places. 

Very good transportation.",Great Avenue ,50
134,"Came here with a friend for New Years Eve and we had an excellent time.  The security was excellent, the bands were fun and the ambience was spectacular.  I've also visited it many times during other visits.  Great place to stroll, people watch and take...",New Years Eve,50
135,"This angelic statue, which toppled in the 1950s during an earthquake, is a central landmark in the city and on a warm evening you can find throngs of people hanging around its base socializing and taking in the atmosphere.",Central Landmark,40
136,"My hotel was just next to the big Monumento a la Independencia, which is a great architectural statement. Loved the neighbourhood especially the small parallel streets, just to avoid the traffic of the big boulevard",Nice area! ,50
137,"It s a nice place to walk around. We were there for New Year’s Eve and it was very crowded, but it’s a nice walk to take!",Very nice walk ,40
138,"Walk and enjoy a great display of flowers and restaurants. It was always safe around normal hours, the latest we walke dit was 11pm and still safe.",Main road...,50
139,"Driving in the the airport I took the trip to be able to say, “I was there”. 

Very disappointed I did not have more time the street was something to see.  I was wish I was not driving.",On the way to the airport. ,50
140,"We love walking on Paseo de la Reforma. Be sure to take advantage of Sundays when the avenue is all about people, not cars! Beautiful at night!",Take a stroll!,50
141,"Towering winged angel statue and many others, including Christopher Columbus, line this impressive historical avenue.",Impressive,40
142,"This is normally closed down on the weekends to make space for biking traffic. What a wonderful walk this is, with so much to see and do along the way. This is undoubtedly one of the most important streets in the entire city.",Awesome walking/biking path on the weekends,50
143,"Go buy some tacos el pastor nearby, or churros from churros el moro, and go and watch the traffic.  It's worth it.

The roundabout is simply insane.  It boggles the mind watching multiple lanes with no lines drive around, change lanes, enter and exit GOING...",By far worth a walk,40
144,"If you have a short time in Mexico City then you have to take a stroll up Paseo de la Reforma, a long tree lined avenue. The view from the Angel of Independence is nice and worth the walk.",Nice walk ,40
145,"Paseo de la Reforma, it's considered one of the most beautiful avenues in Mexico City, both by locals and visitors and it is one of the most pleasant walks to explore the urbanism of this great metropolis; You can discover many museums, shopping malls, restaurants,...",The best urban walk ?????! ,50
146,Walking the Paseo de la Reforma was a treat.  There are lots of statutes lining the street and people everywhere.  I would recommend walking during daylight.  One negative aspect are beggars with children on the street at every hour.  If you have a conscience at...,Safe during the fay,50
147,Went during the day but hard to take pics due to the sun. So we came back at night. At night it’s less crowded and there’s colored lights.,Go at night ,50
148,Really not much to see. Just take one of those hop-on-hop-off buses and see the city. It's the best way to go.,Just take a tour bus and drive around. Don't get out,20
149,The reality is that Paseo de la Reforma is just an emblematic Avenue in Mexico City. There are some emblematic places as “Redoma del Angel” or Diana’s fountain. There are also good restaurants and malls along the avenue. If you are in Mexico City you...,Interesting walk,30
150,"Got an hour or two to kill then take a stroll down this beautiful, tree-lined Boulevard and enjoy some of this countries colourful history.
Heading towards the Sevilla end you’ll come across a majestic looking statue with a golden angel on top. Plus there are...",Lovely Stroll Down a Beautiful Boulevard ,50
151,"What a Beautiful Boulevard , very clean  we walk along both sides of the Boulevard, it was just so Beautiful and peaceful , many shops along the way >>>",Thought I was in Chicago  or another big City,50
152,"This boulevard was very wide with lots of space for walking or biking.  We walked along Paseo de la Reforma from the Monumento de la Revolucion to the Angel of Independence and the street was beautiful.  Lots of trees, plenty of places to sit, and...",Awesome place to walk!,50
153,"This place is I will say the main street or avenue in the city, people walk around here since  there are a lot of businesses and places you can wander around, if you visit this place in the weekend you will find out the parts...",Lovely place to walk or ride your bike if you are there on the weekends,50
154,"This is really the entertainment and shopping centre, biggest offices, most fancy hotels, some great plazas, a huge boulevard, many street art displays, and some of the worst traffic I have ever seen.  Do not drive yourself!  Take a relatively cheap cab, the low cost...",The Main Street of Mexico City,40
155,"Paseo de la Reforma is a very wide, majestic street. We were extremely lucky to be staying right on this boulevard. This street appeared to safe, even at night. We were in the vicinity near the St Regis Hotel. Lots of towering office buildings and...",This grand boulevard is great for walking and sightseeing and there seems to often have events on the weekend,50
156,A must see if you're in Mexico City. A nice place to walk around as there's a lot to see within this area. Definitely recommend!,Landmark of this City!,50
157,Busy and impressive street to walk along with all the bustle of Mexico City at night! Grab your partner and stroll along for a romantic eve,Great to walk at night,40
158,"I loved the Paseo de la Reforma for being so well kept. Public workers were setting the Christmas decorations all along the avenue on a Sunday Morning. The only bad issue is the slow transit and delays with cars, taxis and buses.","Clean, safe but lots of traffic delays",50
159,Nice area for a long walk. There’s restaurants and shopping centers. A lot of monuments to see . You can see the famous Angel of Independence .,Long Street,50
160,"This long boulevard, in the middle of Mexico City, was a great place to spend time during my visit. It could easily be mistaken for a grand avenue in Europe. There is ample walking space, dedicated bike lanes, and interesting art (statues). The paseo de...",Great Area for Tourists,50
161,"Paseo de la Reforma was not anything spectacular in that it will not be the highlight of your trip to CDMX.  Like the massive avenue itself, which threads the city together, it will thread your experience in the city together by linking the most important...",Do not pass on this while in CDMX,40
